fold_id,market,variant,test_season,train_rows,calibration_rows,test_rows,coverage,rows,accuracy,brier_score,log_loss,roc_auc,average_precision,brier_skill_score,log_loss_skill_score,ece_10,mean_probability,actual_rate,status,reason,feature_version,model_version
fold_03,cards,constant_train_rate,1920,1140,380,380,1.0,380,0.5710526315789474,0.2450007694675285,0.6831162271429781,0.5,0.42894736842105263,0.0,0.0,0.007017543859649145,0.4359649122807018,0.42894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_03,cards,referee_enhanced,1920,1140,380,380,1.0,380,0.5157894736842106,0.25291194432685754,0.699110180873923,0.4992790704249243,0.42597260594413155,-0.03229040821595275,-0.023413224712633296,0.06299362722670175,0.4919409956477544,0.42894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_03,cards,legacy,1920,1140,380,380,1.0,380,0.5210526315789473,0.2514393164199543,0.6961584225049742,0.5006078425829069,0.41366890195023587,-0.026279700943058426,-0.019092205460471634,0.06323773143134373,0.49193771772470285,0.42894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_03,cards,platt_referee_enhanced,1920,1140,380,380,1.0,380,0.5710526315789474,0.2479424106413701,0.6893136249217316,0.4992790704249243,0.42597260594413155,-0.012006660959615889,-0.009072245003859836,0.04115197702762471,0.38779539139342795,0.42894736842105263,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_04,cards,constant_train_rate,2021,1520,380,380,1.0,380,0.6763157894736842,0.22904475415512454,0.6509568565777248,0.5,0.3236842105263158,0.0,0.0,0.10065789473684211,0.4243421052631578,0.3236842105263158,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_04,cards,referee_enhanced,2021,1520,380,380,1.0,380,0.5842105263157895,0.24161380264542753,0.6763130447816447,0.5939071842080288,0.37882648325647644,-0.054875950059045664,-0.03895217931526962,0.16294365826998003,0.48662786879629577,0.3236842105263158,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_04,cards,legacy,2021,1520,380,380,1.0,380,0.5710526315789474,0.24620123466470253,0.6855874172416864,0.5433077093416848,0.354060393857087,-0.07490449005419464,-0.05319947138436287,0.1669547206619978,0.49063893118831353,0.3236842105263158,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_04,cards,platt_referee_enhanced,2021,1520,380,380,1.0,380,0.6763157894736842,0.22987224540121562,0.6526483988464056,0.5939071842080288,0.37882648325647644,-0.0036127928323153036,-0.0025985474330414426,0.10527089924862781,0.42895510977494367,0.3236842105263158,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_05,cards,constant_train_rate,2122,1900,380,380,1.0,380,0.55,0.24811191135734081,0.6893848528523713,0.5,0.45,0.0,0.0,0.024736842105263168,0.4252631578947369,0.45,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_05,cards,referee_enhanced,2122,1900,380,380,1.0,380,0.4842105263157895,0.25590275449473393,0.7053089882612988,0.47555891323204336,0.4229267200895095,-0.03140052041343733,-0.023099050324416837,0.05830947266614954,0.49695874577537935,0.45,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_05,cards,legacy,2122,1900,380,380,1.0,380,0.5105263157894737,0.25134219971335736,0.6959097698672975,0.480595427963849,0.4458486322117776,-0.013019481162128255,-0.009464839541990067,0.044815155191339495,0.4948151551913394,0.45,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_05,cards,platt_referee_enhanced,2122,1900,380,380,1.0,380,0.5447368421052632,0.26698298048896857,0.7312810746671168,0.47555891323204336,0.4229267200895095,-0.0760586987879388,-0.06077334255517419,0.1372920115507803,0.329580731327694,0.45,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_06,cards,constant_train_rate,2223,2280,380,380,1.0,380,0.531578947368421,0.25261330409356725,0.6985303000819478,0.5,0.46842105263157896,0.0,0.0,0.060087719298245634,0.4083333333333332,0.46842105263157896,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_06,cards,referee_enhanced,2223,2280,380,380,1.0,380,0.5131578947368421,0.2514373685838994,0.6959642191807114,0.516436756035154,0.4982808990963589,0.0046550814648790295,0.0036735427238236973,0.04741365891754358,0.5058950475214781,0.46842105263157896,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_06,cards,legacy,2223,2280,380,380,1.0,380,0.47368421052631576,0.2509632227201055,0.6950129342836443,0.4852319501613082,0.47191462923642075,0.006532044618087651,0.005035380423570546,0.05417998534649477,0.4981738180042766,0.46842105263157896,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_06,cards,platt_referee_enhanced,2223,2280,380,380,1.0,380,0.531578947368421,0.2503249150716791,0.693839187141978,0.4835632439648459,0.45963176871018313,0.009058861844586596,0.006715689984270523,0.018923776499265837,0.44949727613231305,0.46842105263157896,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_07,cards,constant_train_rate,2324,2660,380,380,1.0,380,0.3894736842105263,0.2762943071965627,0.7463339303938339,0.5,0.6105263157894737,0.0,0.0,0.19624060150375938,0.41428571428571426,0.6105263157894737,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_07,cards,referee_enhanced,2324,2660,380,380,1.0,380,0.5736842105263158,0.242813504058703,0.6785463233556405,0.5274930102516309,0.649088459008879,0.1211780419132582,0.09082744905142193,0.06979331216716679,0.5407330036223068,0.6105263157894737,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_07,cards,legacy,2324,2660,380,380,1.0,380,0.5657894736842105,0.24712780653295963,0.6873873952721858,0.5204595759552656,0.6278062607706658,0.10556316183110248,0.07898144881412861,0.09395761465912213,0.5165687011303516,0.6105263157894737,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_07,cards,platt_referee_enhanced,2324,2660,380,380,1.0,380,0.44473684210526315,0.2540756274272274,0.701321350501928,0.5274930102516309,0.649088459008879,0.08041671214574975,0.06031158179844931,0.13050093424292666,0.48002538154654695,0.6105263157894737,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_08,cards,constant_train_rate,2425,3040,380,380,1.0,380,0.40789473684210525,0.27077562326869814,0.7351018366356235,0.5,0.5921052631578947,0.0,0.0,0.17105263157894735,0.42105263157894735,0.5921052631578947,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_08,cards,referee_enhanced,2425,3040,380,380,1.0,380,0.5605263157894737,0.2448809908001263,0.6827539557030123,0.5191111111111111,0.6229764241497189,0.09563132809365149,0.07121174009331033,0.04960361192716733,0.5440095350855133,0.5921052631578947,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_08,cards,legacy,2425,3040,380,380,1.0,380,0.5605263157894737,0.2449715427465459,0.6830271708504492,0.5559139784946237,0.6486589878532837,0.09529691118666961,0.07084007030033679,0.07840775288467663,0.5162505763509002,0.5921052631578947,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
fold_08,cards,platt_referee_enhanced,2425,3040,380,380,1.0,380,0.5921052631578947,0.24175852962386266,0.676567487196999,0.5191111111111111,0.6229764241497189,0.10716287269345892,0.07962753801095301,0.019263785120961614,0.6113690482788563,0.5921052631578947,ok,,card-team-referee-rolling-v0.2,cards-logistic-v0.2
